l=-3,5,0.5,0,-2.09844,3.43328,1.06575,0.333898,-1.87986,3.05343,1.20291,0.414849,-1.05673,1.62301,1.71944,0.719699,-1.01025,1.54223,1.74861,0.736914,-1.00862,1.53939,1.74964,0.73752,-0.29989,0.307773,2.19438,1,-0.29989,0.307773,2.19438,1,-0.29989,0.307773,2.19438,1,-0.29989,0.307773,2.19438,1
l=-3,5,0.5,0,-0.468918,0.869129,2.2109,0.907591,-0.420258,0.789713,2.2438,0.925039,-0.338163,0.655728,2.29929,0.954476,-0.211207,0.448529,2.38511,1,-0.211207,0.448529,2.38511,1,-0.211207,0.448529,2.38511,1,-0.211207,0.448529,2.38511,1,-0.211207,0.448529,2.38511,1,-0.211207,0.448529,2.38511,1
l=-3,5,0.5,0,-2.29526,3.8438,0.962611,0.253195,-1.11782,1.9121,1.73551,0.676217,-0.33518,0.628092,2.24926,0.9574,-0.216608,0.433563,2.3271,1,-0.216608,0.433563,2.3271,1,-0.216608,0.433563,2.3271,1,-0.216608,0.433563,2.3271,1,-0.216608,0.433563,2.3271,1,-0.216608,0.433563,2.3271,1
l=-3,5,0.5,0,-2.42411,3.99461,0.871695,0.214723,-1.00534,1.51773,1.7874,0.743715,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1,-0.317976,0.317729,2.23104,1
l=-3,5,0.5,0,-2.20677,3.6549,1.00383,0.2902,-1.37365,2.24216,1.53299,0.594996,-0.612755,0.951885,2.01628,0.873367,-0.266618,0.364933,2.23613,1,-0.266618,0.364933,2.23613,1,-0.266618,0.364933,2.23613,1,-0.266618,0.364933,2.23613,1,-0.266618,0.364933,2.23613,1,-0.266618,0.364933,2.23613,1
l=-3,5,0.5,0,-2.07984,3.45661,1.11623,0.336174,-1.46133,2.41918,1.53045,0.562142,-0.683152,1.11394,2.05159,0.846443,-0.583053,0.946039,2.11863,0.883013,-0.262843,0.408948,2.33307,1,-0.262843,0.408948,2.33307,1,-0.262843,0.408948,2.33307,1,-0.262843,0.408948,2.33307,1,-0.262843,0.408948,2.33307,1
l=-3,5,0.5,0,-2.13836,3.60663,1.02836,0.304226,-0.49421,0.947826,2.03655,0.884744,-0.441882,0.863205,2.06864,0.90322,-0.16778,0.41995,2.23672,1,-0.16778,0.41995,2.23672,1,-0.16778,0.41995,2.23672,1,-0.16778,0.41995,2.23672,1,-0.16778,0.41995,2.23672,1,-0.16778,0.41995,2.23672,1
l=-3,5,0.5,0,-2.30092,3.76119,0.994993,0.265324,-2.29497,3.75065,0.999206,0.267582,-2.15627,3.50487,1.09741,0.320222,-0.522196,0.609229,2.25443,0.940402,-0.365164,0.330961,2.36562,1,-0.365164,0.330961,2.36562,1,-0.365164,0.330961,2.36562,1,-0.365164,0.330961,2.36562,1,-0.365164,0.330961,2.36562,1
l=-3,5,0.5,0,-2.06397,3.52125,1.07163,0.324796,-1.65234,2.87095,1.32301,0.467629,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1,-0.118102,0.447144,2.25996,1
l=-3,5,0.5,0,-2.05217,3.35969,1.18157,0.354748,-1.94653,3.17687,1.25754,0.394287,-1.79285,2.91091,1.36805,0.451807,-0.999697,1.53828,1.9384,0.748663,-0.508605,0.688401,2.29154,0.932467,-0.328167,0.376136,2.42129,1,-0.328167,0.376136,2.42129,1,-0.328167,0.376136,2.42129,1,-0.328167,0.376136,2.42129,1
